Name,About,Url_image,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Adaptability,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,All Around Friendliness,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Health And Grooming Needs,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Trainability,Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Physical Needs,Dog Breed Group,Height,Weight,Life Span
Australian Shepherd Husky,"The Australian Shepherd Husky is a mixed breed dog–a cross between the Australian Shepherd and Siberian Husky dog breeds. These active dogs are protective and loyal and inherited some of the best qualities from both of their parents. The Australian Shepherd Husky is also called Aussie Siberian . Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These pups would make suitable companions for those who enjoy hiking and, in general, the great outdoors. They come from a long line of working dog parents and thrive in wide open spaces where they can exert some of their energy. Active people, hikers, and naturists, please step to the front of the line if you’re considering adopting one of these pups.",https://cdn1-www.dogtime.com/assets/uploads/2019/12/australian-shepherd-husky-mixed-dog-breed-pictures-cover.jpg,1,2,4,1,5,4,3,5,3,2,2,3,4,2,3,3,4,4,3,4,5,3,4,5,5,4,5,5,5,5,5,Mixed Breed Dogs,54.61,23.81,13.5
Australian Shepherd Pit Bull Mix,"The Australian Shepherd Pit Bull Mix is a mixed breed dog–a cross between the Australian Shepherd and Pit Bull dog breeds. Energetic, loyal, and highly trainable, these pups inherited some of the best qualities from both of their parents. Australian Shepherd Pit Bull Mixes are sometimes also called Pitbull Australian Shepherd Mixes or Aussie Pits. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! These adorable pups make great family dogs for larger households, although they can thrive in smaller, urban environments with active owners. If you want a playful dog who will be both a snuggle buddy and an alert system, the Austrian Shepherd Pit Bull Mix might be the right dog for you!",https://cdn3-www.dogtime.com/assets/uploads/2020/01/australian-shepherd-pit-bull-mixed-dog-breed-pictures-cover.jpg,2,3,3,2,3,3,3,4,4,3,3,4,4,2,3,4,5,4,4,4,4,3,4,2,3,3,4,3,4,4,4,Mixed Breed Dogs,50.8,26.08,13.0
Australian Shepherd,"Despite their name, the Australian Shepherd dog breed originated in the western United States, not Australia, around the time of the Gold Rush in the 1840s. Originally bred to herd livestock , they remain a working dog at heart. The Aussie, as they’re nicknamed, are happiest when they have a job to do. They can be wonderful family companions if their intelligence and energy are channeled into dog sports or activities. You can find these dogs in shelters and rescues, so opt to adopt if you can! DogTime recommends ordering fresh, custom meals for your Aussie delivered to your door from NomNomNow ! Click here to get 20% off your first order!",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23168_australian-shepherd-460x290.jpg,1,2,5,2,4,4,3,5,4,5,3,4,3,1,1,2,4,3,2,5,5,4,4,4,5,5,5,4,5,5,5,Herding Dogs,52.07,23.81,13.5
Australian Shepherd Lab Mix,"The Australian Shepherd Lab Mix is a mixed breed dog–a cross between the Australian Shepherd and the Labrador Retriever dog breeds. Medium in size, energetic, and loyal, these pups inherited some amazing traits from both of their parents. Australian Shepherd Lab Mixes are also called Aussiedors , Australian Shepradors, Aussie Shepradors, Aussie Labs, and Shepradors. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so adopt! Don’t shop! These athletic, alert pups are best suited for level two dog parents, so some dog parenting experience is needed. These pups do not do well with home bodies. They like active people and would really like having their intelligence put to use. Give them a job to do and watch them excel!",https://cdn3-www.dogtime.com/assets/uploads/2019/12/australian-shepherd-lab-mixed-dog-breed-pictures-cover.jpg,2,2,5,4,5,4,4,4,4,4,4,4,4,2,4,4,3,4,4,5,5,4,3,3,5,4,5,5,5,5,5,Mixed Breed Dogs,59.69,27.22,13.5
Australian Retriever,"The Australian Retriever is a mixed breed dog–a cross between the Australian Shepherd and Golden Retriever dog breeds. Loyal, intelligent, and friendly, these pups inherited some of the best traits from both of their parents. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these pups to your home! If you’re looking for a devoted family dog who’s also smarter than your average pooch, the Australian Retriever could be a perfect addition to your household. The mixed breed loves children and is quick to form long-lasting and loving bonds with the humans in their life. Just be aware that the Australian Retriever is one of the most energetic dogs around–so you’ll need to be able to commit to providing lots of exercise and play time and have a suitably spacious living arrangement.",https://cdn1-www.dogtime.com/assets/uploads/2019/10/australian-retriever-mixed-dog-breed-pictures-cover.jpg,1,4,3,2,4,4,3,4,4,3,3,4,3,2,3,4,4,4,3,4,4,2,3,2,4,3,5,3,5,4,4,Mixed Breed Dogs,53.34,19.28,13.5
Wirehaired Pointing Griffon,"The Wirehaired Pointing Griffon is a happy and loving dog breed . They make excellent gundogs or family companions, and they suffers from comparatively few diseases. With their sense of humor and lively nature, they’re a good match for an energetic family looking for a dog to be part of their daily activities. Although they’re purebred dogs, you may find Wirehaired Pointing Griffons in shelters or in the care of rescue groups. If this is the breed for you, opt to adopt if possible! Bright, affectionate, and playful, these dogs will get along with every member of the family. Apartment dwellers beware, though, as this is not a breed that takes well to apartment life. They need plenty of activity and space to exercise, and they don’t care for being left alone for long hours during the day. If you can provide an active home with plenty of physical and mental stimulation, you’ll have a happy, loving friend for life. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Wirehaired Pointing Griffon. You should also pick up this dog water bottle for any outdoor adventures you have with your pup! See all Wirehaired Pointing Griffon dog breed facts and characteristics below! More articles that will interest you:",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23002_wirehaired-pointing-griffon-460x290.jpg,1,3,4,1,4,3,3,5,5,4,5,5,1,1,3,4,3,3,3,5,5,3,4,4,4,4,5,3,4,5,4,Sporting Dogs,55.88,24.95,12.0
West Highland White Terrier,"The best way to describe this wee white Terrier dog breed from Scotland is simply to say that he’s so full of self-esteem that he knows he’s the best thing around. Always on the lookout for a good time, he’ll make you laugh while he entertains himself. He’s friendly and happy, with a lively nature that endears him to everyone (except small rodents), especially when he cocks his head to the side and looks at you quizzically. See all West Highland White Terrier characteristics below! Additional articles you will be interested in: Adoption Dog Names Bringing Home Your Dog Help with Training Puppies Housetraining Puppies Feeding a Puppy Dog games Teaching your dog tricks How to take pictures of your dog",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23092_west-highland-white-terrier-460x290.jpg,4,4,4,2,4,3,4,5,4,5,3,4,4,1,3,3,4,2,3,4,4,2,4,4,3,4,4,4,4,4,4,Terrier Dogs,,7.94,14.0
Whoodle,"The Whoodle is a mixed breed dog–a cross between the Soft-Coated Wheaten Terrier and Poodle dog breeds. Playful, friendly, and active, these pups inherited some of the best qualities from both of their parents. Whoodles also go by the names the Wheatendoodle, the Wheatenpoo, the Sweatendoodle, and the Sweatenpoo. Despite their plush image, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop! These super cute canines make for smart and friendly dogs, and you’ll love showing off photos of your Whoodle to your family and friends. But Whoodles are also extremely active dogs and can be very headstrong at times, so you’ll need to demonstrate that you’re in charge of the household when you bring your pup home!",https://cdn2-www.dogtime.com/assets/uploads/2019/07/whoodle-mixed-dog-breed-pictures-cover.jpg,4,1,3,1,4,2,3,4,4,3,4,4,2,1,3,4,2,3,3,2,4,1,2,1,3,2,4,4,4,4,4,Mixed Breed Dogs,40.64,14.74,13.5
Azawakh,"A dog breed named for the Azawakh Valley in the Sahara desert where they originated, this is a lean and swift hunter with a regal presence. They’re proud but loyal, and protective of their home and family.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23286_azawakh-460x290.jpg,5,2,3,3,1,5,3,4,2,3,2,3,3,1,5,3,3,4,3,3,3,3,4,1,2,3,3,2,4,3,3,Hound Dogs,15.24,19.96,13.5
Yorkshire Terrier,"Small in size but big in personality, the Yorkshire Terrier makes a feisty but loving companion. The most popular toy dog breed in the U.S., the “Yorkie” has won many fans with his devotion to his owners, his elegant looks, and his suitability to apartment living. Read all about Yorkie Puppies here!",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23132_yorkshire-terrier-460x290.jpg,5,4,5,2,2,2,3,4,2,3,2,3,2,1,2,4,2,1,2,3,3,2,2,3,3,3,5,4,4,5,5,Companion Dogs,,2.27,13.5
Xoloitzcuintli,"The Xoloitzcuintli dog breed –sometimes called the Mexican Hairless or just Xolo–may well have descended from the first dogs to set paw on the North American continent. In their native Mexico and Central America, they were popular “doctors”–the heat given off by their bodies providing comfort to people with arthritis and other ailments. People still like to cuddle with them today!",https://cdn2-www.dogtime.com/assets/uploads/2012/02/file_23296_Xoloitzcuintli-dog-breed-460x290.jpg,5,1,5,1,3,3,3,5,3,2,1,3,5,1,5,5,3,3,4,3,5,3,5,5,5,4,3,3,3,3,3,Companion Dogs,8.89,13.61,17.0
Welsh Terrier,"The Welsh Terrier dog breed ‘s zest for life is contagious, and he always enjoys himself to the fullest. Bred to hunt independently, with all the self-determination and intelligence that entails, the happy and lively Welshie rarely gets tired and wants to spend his days having fun, fun, fun. His joy, his attitude, and his brains all add up to one wonderful package: He’s a true Terrier.",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23090_welsh-terrier-460x290.jpg,3,3,3,2,2,2,3,4,5,5,4,5,2,1,2,5,3,2,3,3,5,2,5,4,4,4,5,5,5,5,5,Terrier Dogs,3.81,9.07,12.0
Yorkipoo,"A fun-loving “designer dog” — and therefore a mixed dog breed — a Yorkipoo is a cross between the Yorkshire Terrier and a Toy or Miniature Poodle . Intelligent, affectionate, and gentle, he makes a delightful companion and is perfectly suited to apartment life, especially if you don’t mind the barking. He has plenty of energy to be burned off and he loves to play when he’s not parked on your lap watching the world go by. His ability to run fast and jump high can be surprising to those who aren’t expecting a canine Superman in miniature.",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23208_yorkipoo-460x290.jpg,5,5,4,3,2,3,4,5,4,3,2,4,1,1,4,3,2,1,2,4,4,3,3,5,2,4,5,3,3,4,4,Hybrid Dogs,,3.86,12.5
Westiepoo,"The Westiepoo is a mixed breed dog–a cross between the West Highland White Terrier and Poodle dog breeds. Clever, active, and affectionate, these pups inherited some of the best qualities from both of their parents. Westiepoos are also sometimes known as Westiedoodles and Wee-Poos . You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add a Westiepoo to your home! The Westiepoo is one of the most social and loving dogs around. They adore human interaction and will make great bonds with the people in your family. The mixed breed is renowned for being smarter than the average canine too, meaning that training a Westiepoo is something even new dog owners should be able to get a handle on. Westiepoos are small dogs but they do have a high energy streak–which means you’ll need to be able to commit to a proper exercise routine. While they can adapt to apartment living situations, they are not a dog to be left alone all day. The Westiepoo is a dog who wants to be around the action all the time!",https://cdn1-www.dogtime.com/assets/uploads/2019/09/westiepoo-mixed-dog-breed-pictures-cover.jpg,3,4,4,1,3,3,3,4,4,4,4,4,1,1,5,4,4,2,3,4,4,3,4,3,3,4,4,4,4,5,4,Mixed Breed Dogs,35.56,12.47,13.5
Whippet,"The Whippet dog breed was a hunter’s best friend, speedily going after rabbits and other small game. Today the Whippet competes in agility, flyball, lure coursing, rally, and obedience and is a loving therapy dog. Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you. This breed’s unique nature, friendly personality, and stylish look make them a favorite as a family companion, as well as in the show ring. They can even make great apartment pets; although, they require plenty of exercise to burn off their high energy, and they also don’t enjoy being left home alone for long hours of the day. You may not get a great watchdog with a Whippet, as they rarely bark, even at strangers. But you will get a highly affectionate companion for the whole family. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Whippet. You should also pick up this dog brush and massager for your short-haired pup! See all Whippet dog breed facts and characteristics below! More articles that will interest you:",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23048_whippet-460x290.jpg,5,3,5,2,1,4,3,5,5,4,4,5,2,1,5,4,1,3,3,4,4,4,5,1,4,4,5,2,5,5,4,Hound Dogs,50.8,14.97,13.5
Vizsla,"Created in Hungary to work as a pointer and retriever, the Vizsla dog breed has an aristocratic bearing. All they really want, though, is to be loved. Although they’re purebred dogs, you may find Vizslas in shelters or in the care of rescue groups. If this is the breed for you, opt to adopt if possible! Vizslas make super companions for active families who can provide them with the exercise and attention they crave. Although these dogs are super affectionate, they don’t take to apartment living easily. They’d much prefer a large yard to run around and burn off their energy. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Vizsla. You should also pick up this dog fetch toy to help burn off your pup’s high energy!",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22996_vizsla-460x290.jpg,1,3,5,1,1,4,3,5,5,5,5,5,2,1,5,4,2,3,3,5,4,4,2,5,5,4,5,4,5,5,5,Sporting Dogs,57.15,24.95,12.0
Welsh Springer Spaniel,"The Welsh Springer Spaniel dog breed was developed as a gundog to flush, or spring, game in the field. A faithful companion, they’re a favorite of discriminating hunters and families. Although they’re purebred dogs, you may find Welsh Springer Spaniels in shelters or in the care of rescue groups. If this is the breed for you, opt to adopt if possible! Welsh Springer Spaniels have a highly affectionate side and make excellent family companions. They can even adapt to apartment life; however, they do have high energy and must stay active to be happy. They also don’t take well to staying home alone all day. But give them the exercise, training, and attention that they need, and they’ll be your best friend. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Welsh Springer Spaniel. You should also pick up this dog fetch toy to help burn off your pup’s high energy! See all Welsh Springer Spaniel dog breed facts and characteristics below! More articles that will interest you:",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23000_welsh-springer-spaniel-460x290.jpg,4,4,5,1,4,4,4,5,5,4,3,4,3,1,4,4,4,3,3,5,5,3,3,5,5,4,5,4,5,4,5,Sporting Dogs,45.72,20.41,12.5
Tibetan Mastiff,"This still-primitive Tibetan Mastiff dog breed was developed centuries ago in Tibet. Originally used as guard dogs for livestock and property, Tibetan Mastiffs can still be found performing that role, but they also enjoy life as family companions and show dogs. Despite their massive, intimidating size, these pups are big softies when it comes to their human families. They retain their guardian nature, though, so strangers must beware, and introductions from trusted humans go a long way. DogTime recommends this big, spacious crate to give your big Tibetan Mastiff a place to rest and relax. You should also pick up this dog water bottle for any outdoor adventures you have with your pup!",https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22952_tibetan-mastiff-460x290.jpg,1,1,5,1,5,2,3,5,5,5,2,4,2,2,4,3,4,5,3,1,5,5,3,2,3,3,4,2,2,5,3,Working Dogs,,53.3,12.0
Weimaraner,"Originally bred as a gundog to handle big game like deer and bear, the Weimaraner, or “Silver Ghost,” was a highly sought-after dog breed in their native Germany. Today, these elegant but demanding dogs can still be found out on the hunting grounds. However, they can also make fine family friends if they get enough exercise. Although they’re purebred dogs, you may find Weimaraners in shelters or in the care of rescue groups. If this is the breed for you, opt to adopt if possible! Weimaraners can make excellent companions, but due to their hunting heritage, they have a lot of energy and high prey drive. Novice owners and apartment dwellers should beware, as this dog needs consistent training and plenty of activity. That said, if you’re prepared to meet the breed’s needs, you’ll be rewarded with a devoted and affectionate addition to your family. DogTime recommends this big, spacious crate to give your big Weimaraner a place to rest and relax. You should also pick up this dog fetch toy to help burn off your pup’s high energy! See all Weimaraner characteristics below! More articles that will interest you:",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22998_weimaraner-460x290.jpg,1,2,5,1,3,4,3,5,4,3,3,4,4,4,5,3,2,4,4,4,5,5,5,2,5,4,5,5,5,5,5,Sporting Dogs,63.5,31.75,12.0
Toy Fox Terrier,"Originally created as smaller versions of their larger Smooth Fox Terrier dog breed ancestors, Toy Fox Terriers have been used for a variety of tasks, serving as ratters on farms and as hunters of small game such as squirrel. They have been successful circus dogs and performers, and their intelligence helps them to do well in obedience and agility competitions . Their most important purpose, however, is to be a loyal, loving, and devoted companion who amuses and entertains their families.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23130_toy-fox-terrier-460x290.jpg,5,3,4,1,2,3,3,5,4,3,3,4,4,1,5,5,2,1,3,3,4,2,5,4,4,4,5,4,5,5,5,Companion Dogs,24.13,2.27,13.5
Tibetan Terrier,The Tibetan Terriers dog breed was created to be companions and friends. They love being with people and are adaptable to a variety of homes and lifestyles. Their shaggy coat is attractive but requires frequent grooming .,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23164_tibetan-terrier-460x290.jpg,5,3,4,1,4,4,4,5,5,4,3,4,1,1,1,5,3,2,2,4,4,2,2,2,3,3,5,4,5,5,5,Companion Dogs,3.81,9.98,13.5
Treeing Walker Coonhound,"The Treeing Walker dog breed has a short, clear bark and a passion for the hunt. Some are shy, some are confident, but they’re all hounds — meaning, they need patient training and plenty of exercise.",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23250_treeing-walker-coonhound-460x290.jpg,1,2,5,2,3,3,3,4,4,3,3,4,3,2,5,4,3,4,4,2,4,3,4,5,5,4,4,4,5,3,4,Hound Dogs,11.43,28.35,12.5
Valley Bulldog,"The Valley Bulldog is a mixed breed dog–a cross between the Boxer and English Bulldog breeds. Medium in size, active, and loyal, these pups inherited some of the best qualities from both of their parents Valley Bulldogs also go by the name Bull Boxer. Despite their unfortunate status as a designer breed, you can find these mixed pups in shelters and breed-specific rescues, so remember to adopt! Don’t shop! These adorable pups make great apartment dogs for active urban dwellers, and they also do well with large families. They can get excessively barky, which can be minimized with early training. If you want an active companion dog who doesn’t require too much exercise, read on to find out if the Valley Bulldog is right for you!",https://cdn2-www.dogtime.com/assets/uploads/2019/09/valley-bulldog-mixed-dog-breed-pictures-cover.jpg,4,3,4,2,1,1,3,5,4,3,4,4,4,3,5,3,4,4,4,3,3,2,3,4,1,3,4,4,4,4,4,Mixed Breed Dogs,46.99,39.69,10.0
